id,uuid,channel_id,idea_id,shot_number,shot_title,time_start_sec,time_end_sec,chk_01_element,chk_02_idea,chk_03_image_prompt,chk_04_image_gen,chk_05_video_prompt,chk_06_video_gen,chk_07_audio_gen,chk_08_hud_render,chk_09_stitch,chk_10_upload,failed_checkpoint,retry_count,max_retries,overall_status,updated_at
1,964082d9-bf56-42b2-9ccd-66487d051413,2,1,1,Shot 1 - Level 10 Operation Phase 1,0,6,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.326920
2,b2661c13-347b-41ad-abe0-da6b7f9a9acc,2,1,2,Shot 2 - Level 10 Operation Phase 2,6,12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.327659
3,43275451-22f8-40ff-b126-2b56da1ade83,2,1,3,Shot 3 - Level 10 Operation Phase 3,12,18,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.327659
4,20c676bb-4108-4e11-9d51-137002780384,2,1,4,Shot 4 - Level 10 Operation Phase 4,18,24,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.327659
5,fe98754b-d013-4082-910f-db725940c739,2,1,5,Shot 5 - Level 10 Operation Phase 5,24,30,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
6,bc24cd54-8031-460d-a91e-a88493d5cf62,2,1,6,Shot 6 - Level 10 Operation Phase 6,30,36,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
7,be494984-61fe-474b-a184-af1ad9846ecc,2,1,7,Shot 7 - Level 10 Operation Phase 7,36,42,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
8,50d87635-46c8-4fcc-aef4-5799511f602c,2,1,8,Shot 8 - Level 10 Operation Phase 8,42,48,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
9,f01db38d-810b-4000-88cc-45284964cb81,2,1,9,Shot 9 - Level 10 Operation Phase 9,48,54,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
10,1a748626-3bce-4f60-8bae-824dc7a88d4f,2,1,10,Shot 10 - Level 10 Operation Phase 10,54,60,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
11,391b4f01-da44-4fee-bb3e-a75823ce1472,2,1,11,Shot 11 - Level 10 Operation Phase 11,60,66,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
12,d01ac393-af48-4f93-b5e8-6a9dc38eddc8,2,1,12,Shot 12 - Level 10 Operation Phase 12,66,72,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
13,146b9a22-5ad0-4658-a030-97b1758d00d6,2,1,13,Shot 13 - Level 10 Operation Phase 13,72,78,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
14,bc223df5-deef-4346-98c0-a875856d8247,2,1,14,Shot 14 - Level 10 Operation Phase 14,78,84,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,1,3,TICK_ALL_OK,2026-08-11 17:30:04.380504
15,06072360-e5e8-4bee-a547-3e92ccc2bff4,2,1,15,Shot 15 - Level 10 Operation Phase 15,84,90,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
16,eeee1e19-2f2f-4d46-a312-a766808b9fac,2,1,16,Shot 16 - Level 10 Operation Phase 16,90,96,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
17,5c4109ff-8585-4fa9-aa76-1205bcbfad52,2,1,17,Shot 17 - Level 10 Operation Phase 17,96,102,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
18,a6740d3d-c449-459a-8c08-8577f2566d6e,2,1,18,Shot 18 - Level 10 Operation Phase 18,102,108,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
19,00288a9a-9c2e-4b6e-be85-6ac9f3be88d7,2,1,19,Shot 19 - Level 10 Operation Phase 19,108,114,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
20,bc3e99d2-f0d6-47d0-8f58-10a14eca54f1,2,1,20,Shot 20 - Level 10 Operation Phase 20,114,120,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
21,4d9ca9d1-f318-409d-8c7e-8d4d6b06f4b0,2,1,21,Shot 21 - Level 10 Operation Phase 21,120,126,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
22,2387e0c5-5919-429f-a38c-7de70f8c7491,2,1,22,Shot 22 - Level 10 Operation Phase 22,126,132,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
23,0f7adc8c-3d5e-4cf4-b657-05b891aa1022,2,1,23,Shot 23 - Level 10 Operation Phase 23,132,138,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
24,dc7b4668-345a-4bd8-b7de-0c5f6ea7a870,2,1,24,Shot 24 - Level 10 Operation Phase 24,138,144,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
25,26ac36d9-293f-4452-8432-15cf94012b59,2,1,25,Shot 25 - Level 10 Operation Phase 25,144,150,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
26,39dcdf2f-9f61-40f5-a0c7-da3835e611b9,2,1,26,Shot 26 - Level 10 Operation Phase 26,150,156,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
27,601ac66e-dbbe-4b2b-a148-b3c78c29a1cc,2,1,27,Shot 27 - Level 10 Operation Phase 27,156,162,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
28,c5795fc6-4d38-42f4-a81d-ce20f53fc860,2,1,28,Shot 28 - Level 10 Operation Phase 28,162,168,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
29,21fb2daf-9567-4ffa-ba56-05e2d6e63a7a,2,1,29,Shot 29 - Level 10 Operation Phase 29,168,174,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
30,dd4c8967-c6ad-4493-8e30-481d6d71b64e,2,1,30,Shot 30 - Level 10 Operation Phase 30,174,180,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
31,650fd1aa-8381-45d7-9488-7e7c5b28fccb,2,1,31,Shot 31 - Level 10 Operation Phase 31,180,186,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
32,88cfab8c-4735-4823-a429-44f84ca63eec,2,1,32,Shot 32 - Level 10 Operation Phase 32,186,192,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
33,c8c4e5b8-8653-4f5d-a914-e3caeeb3d733,2,1,33,Shot 33 - Level 10 Operation Phase 33,192,198,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
34,151efe74-1b5c-446f-b456-a65d8e146154,2,1,34,Shot 34 - Level 10 Operation Phase 34,198,204,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
35,575f7abc-24e7-4c28-a964-666b787cbd71,2,1,35,Shot 35 - Level 10 Operation Phase 35,204,210,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
36,0afebe42-bc06-4846-838f-2c96faad4f10,2,1,36,Shot 36 - Level 10 Operation Phase 36,210,216,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.328901
37,e2188b7a-37d3-41b3-b29a-514384b39651,2,1,37,Shot 37 - Level 10 Operation Phase 37,216,222,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.337577
38,86e18c37-607d-4240-b5de-b75c61c2bf2c,2,1,38,Shot 38 - Level 10 Operation Phase 38,222,228,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,0,3,TICK_ALL_OK,2026-08-11 17:30:04.338103
