id,uuid,name,symbol,group_type,created_at
1,bb657c58-3ea2-485a-9b8a-115b1463262e,Paddy / Rice Field,🌾,Agriculture,2026-08-11 14:54:21.461476
2,d0214fd1-f806-42e7-9b6e-d8ee70da461a,Forest,🌲,Nature,2026-08-11 14:54:21.469534
3,1c4eb06f-59a8-470d-82e7-811c61b77319,Giant Tree,🌳,Nature,2026-08-11 14:54:21.472492
4,14732072-2929-4d0e-98f2-9fddb9e527e9,Palm Tree,🌴,Nature,2026-08-11 14:54:21.476270
5,70ab9188-335c-4ac4-a913-4c0ab0777850,Bamboo Forest,🌿,Nature,2026-08-11 14:54:21.479819
6,f8c974dc-0cec-4783-9d84-695d0d489307,Corn Field,🌽,Agriculture,2026-08-11 14:54:21.483327
7,b013fffb-6caf-49b4-bd1a-ef54f1de9a7d,Wheat Field,🌾,Agriculture,2026-08-11 14:54:21.486362
8,541441b8-024a-4698-81e9-bdeb18a43a67,Tea Garden,🍃,Agriculture,2026-08-11 14:54:21.489247
9,3567c3e7-3cd4-4a1a-acc5-ca3a7f3fe5ac,Banana Plantation,🍌,Agriculture,2026-08-11 14:54:21.490351
10,0672c267-3459-4578-9bb6-6e2b45a2ad7d,Apple Orchard,🍎,Agriculture,2026-08-11 14:54:21.492951
11,cbde74a6-f112-494d-9db1-fe7ef4eb8ee5,Sunflower Field,🌻,Agriculture,2026-08-11 14:54:21.492951
12,af30dd45-250d-4573-b4c2-4d6ce8cdc634,Grassland,🌱,Nature,2026-08-11 14:54:21.496605
13,e4eb36a3-2bc7-4646-b24f-da7dbc4f1577,Desert,🌵,Environment,2026-08-11 14:54:21.496605
14,0f604fc8-1610-4ba3-8fe7-c3663416e379,Mountain,🏔️,Environment,2026-08-11 14:54:21.496605
15,eb6c0bfc-74ab-4e10-ae7f-cedbfd562146,Glacier,🧊,Environment,2026-08-11 14:54:21.496605
16,117c8b81-d67c-402b-9d1d-e6aaf76aa46b,Snowfield,❄️,Environment,2026-08-11 14:54:21.496605
17,fc63feb3-80a0-44ed-bda4-0ad003324cf3,Volcano,🌋,Environment,2026-08-11 14:54:21.496605
18,a1ec84d4-f036-4191-b96d-090c2ec81c65,Sand Dune,🏜️,Environment,2026-08-11 14:54:21.505744
19,8755fc71-4cd1-447a-924e-5c8056b82c33,Island,🏝️,Environment,2026-08-11 14:54:21.507525
20,b79415bd-bc09-4ad9-85b4-b167acc3c1ae,Ocean,🌊,Environment,2026-08-11 14:54:21.507525
21,b964959e-ae2b-45e2-9ec7-078ec4ec3b66,River,🏞️,Environment,2026-08-11 14:54:21.507525
22,d34e8b79-f82d-46d7-bcb1-c5511f6b3bfd,Waterfall,💧,Environment,2026-08-11 14:54:21.507525
23,cc531de3-57e4-4948-a166-f1b17f1c7ec1,Swamp,🏕️,Environment,2026-08-11 14:54:21.507525
24,ce1a157f-bef4-4710-8101-f599eb9c7bad,Rock Field,🪨,Environment,2026-08-11 14:54:21.507525
25,b738f238-c8ad-406f-9ef6-e8f3ccc8c9cd,Cave,🕳️,Environment,2026-08-11 14:54:21.516686
26,d8a93cb2-ec87-44d5-81f5-30a04f6e15b6,City,🏙️,Infrastructure,2026-08-11 14:54:21.517211
27,6f0a1215-be7d-446d-b415-71014419423d,Skyscraper,🏢,Infrastructure,2026-08-11 14:54:21.517211
28,ba8a57ee-5f7f-4574-ab95-a090902c9aee,Village,🏘️,Infrastructure,2026-08-11 14:54:21.522838
29,c1d70d0b-08d8-44a8-8e51-ef72e74ec237,Highway,🛣️,Infrastructure,2026-08-11 14:54:21.523367
30,110f0f92-04d9-4890-9074-0ea6080cc96f,Railway,🚂,Infrastructure,2026-08-11 14:54:21.527027
31,5118cc0f-f026-422f-b21e-938cd95d7a47,Bridge,🌉,Infrastructure,2026-08-11 14:54:21.527558
32,3e73b047-edf8-42fd-b3e9-95a71717e221,Ship,🚢,Vehicle,2026-08-11 14:54:21.527558
33,3f9c6f99-df9c-4be5-888c-198cb15b39a1,Ferry,⛴️,Vehicle,2026-08-11 14:54:21.527558
34,daf8c92c-54b8-495e-b73d-d104a2d0555c,Airplane,✈️,Vehicle,2026-08-11 14:54:21.527558
35,5f2744a8-9430-44d2-a35b-a619ca6e9e31,Rocket,🚀,Vehicle,2026-08-11 14:54:21.539550
36,e97d170d-d1d9-4d1f-b5d3-7c156345be4e,Satellite,🛰️,Space,2026-08-11 14:54:21.539550
