id,uuid,idea_id,current_state,previous_state,prompt_verified,seo_verified,video_verified,upload_verified,package_verified,all_fields_validated,missing_fields,active_job_id,active_job_type,failure_reason,retry_count,is_paused,last_verified_at,created_at,updated_at
1,3322bfa9-36c2-4fa5-b65d-999c9893ee4f,3,DISCOVERED,,0,0,0,0,0,0,,,,,0,0,,2026-09-10 18:18:46.898355,2026-09-10 18:18:46.898355
2,d0afe13f-9b26-4b59-892b-6deffe1a87d6,5,DISCOVERED,,0,0,0,0,0,0,,,,,0,0,,2026-09-11 04:43:04.720285,2026-09-11 04:43:04.720285
3,e553f081-6143-46b8-8903-636730e32f57,6,PROMPT_COMPLETE,PROMPT_GENERATING,1,0,0,0,0,0,,,,Crash recovery: PROMPT_GENERATING → PROMPT_COMPLETE,0,0,,2026-09-11 04:43:04.800366,2026-09-11 04:43:04.834587
4,ef5b2dad-93c2-4937-a6c6-556b9b5ed05f,7,DISCOVERED,DISCOVERED,0,0,0,0,0,0,,,,,0,0,,2026-09-11 04:43:04.871206,2026-09-11 04:43:04.940915
5,bd35e460-f513-4c7a-8b03-4b771fbb7a65,20,DISCOVERED,,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:16:47.172943,2026-09-11 05:16:47.172943
6,01797f89-fe69-412b-a678-969e616036ce,21,DISCOVERED,DISCOVERED,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:16:47.240477,2026-09-11 05:16:47.283397
7,1514f97f-79f1-4b36-9965-2a7ca02a90ea,99,PROMPT_MISSING,,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:18:29.804204,2026-09-11 05:18:29.804204
8,1895011a-7559-4985-9440-ecc98628fd05,8,PROMPT_COMPLETE,PROMPT_GENERATING,1,0,0,0,0,0,,,,Crash recovery: PROMPT_GENERATING → PROMPT_COMPLETE,0,0,,2026-09-11 05:18:52.500799,2026-09-11 05:20:10.938498
9,7a9b279b-615c-4717-9f3a-058b7caefa8e,10,ERROR,,0,0,0,0,0,0,,,,,3,0,,2026-09-11 05:18:52.832412,2026-09-11 05:18:52.832412
10,c57c2770-8dfa-4dbb-8de6-887adf76a8af,9,PROMPT_MISSING,PROMPT_MISSING,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:18:52.880624,2026-09-11 05:20:11.063807
11,424fc93a-123a-4319-b95e-d5f3fceb00f6,140,PROMPT_MISSING,,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:19:42.391398,2026-09-11 05:19:42.391398
12,4644e4ac-c0ba-4c22-b52e-328bcaf79d47,11,PROMPT_MISSING,,0,0,0,0,0,0,,,,,0,0,,2026-09-11 05:19:42.423054,2026-09-11 05:19:42.423054
