id,uuid,idea_id,prompt_id,video_title,task_type,status,attempt_count,max_attempts,output_folder_path,video_path,metadata_json_path,last_error,next_retry_at,created_at,updated_at
1,353c60c4-c92b-4631-bcab-c42e817624e7,1,20,Rice Titan Harvester (Level 10 Alien Megastructure),veo_level10_package,success,4,3,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.1.Level_10_Rice_Titan_Harvester,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.1.Level_10_Rice_Titan_Harvester\1.1.Level_10_Rice_Titan_Harvester.mp4,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester\youtube_metadata.json,Real MP4 video not yet available on Google Flow / 1Video10Sec. Folder creation deferred.,,2026-08-15 18:12:37.054773,2026-08-18 08:06:35.141676
2,ad9633a9-8af3-4a5f-8482-4f4e0de7b72b,2,40,The Paddy Ocean Vacuum (Level 10 Alien Megastructure),veo_level10_package,success,4,3,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.2.Level_10_The_Paddy_Ocean_Vacuum,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.2.Level_10_The_Paddy_Ocean_Vacuum\1.2.Level_10_The_Paddy_Ocean_Vacuum.mp4,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_The_Paddy_Ocean_Vacuum\youtube_metadata.json,Real MP4 video not yet available on Google Flow / 1Video10Sec. Folder creation deferred.,,2026-08-15 18:13:21.681371,2026-08-18 08:02:23.501377
3,adb29ba9-9760-4577-a0d3-0460032b88a2,3,,Rice-Field Spider Colossus (Level 10 Alien Megastructure),veo_level10_package,success,1,3,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.3.Level_10_Rice-Field_Spider_Colossus,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.3.Level_10_Rice-Field_Spider_Colossus\1.3.Level_10_Rice-Field_Spider_Colossus.mp4,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice-Field_Spider_Colossus\youtube_metadata.json,,,2026-08-15 18:13:30.724897,2026-08-18 07:34:48.050430
4,ca7708fa-6ab8-4c69-abec-a88ae5860187,4,,The Monsoon Harvesting Ark (Level 10 Alien Megastructure),veo_level10_package,success,1,3,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.4.Level_10_The_Monsoon_Harvesting_Ark,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\1.4.Level_10_The_Monsoon_Harvesting_Ark\1.4.Level_10_The_Monsoon_Harvesting_Ark.mp4,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_The_Monsoon_Harvesting_Ark\youtube_metadata.json,,,2026-08-15 18:13:49.430579,2026-08-18 07:35:04.918100
5,76acc9fc-2973-41ac-9ac3-03a46739ad32,5,,Paddy Ring Megaharvester (Level 10 Alien Megastructure),veo_level10_package,pending_video,1,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Paddy_Ring_Megaharvester\youtube_metadata.json,,,2026-08-15 18:14:00.372512,2026-08-18 07:55:47.664839
6,7201535d-1eca-4558-b940-872ead432bfa,6,,Sky Reaper Rice Fortress (Level 10 Alien Megastructure),veo_level10_package,pending_video,0,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Sky_Reaper_Rice_Fortress\youtube_metadata.json,,,2026-08-15 18:14:08.420663,2026-08-15 18:14:15.812898
7,10fd4e94-df3a-4ed4-9fa3-cfc065fc4e73,6,,Sky Reaper Rice Fortress (Level 10 Alien Megastructure),veo_level10_package,pending_video,1,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Sky_Reaper_Rice_Fortress\youtube_metadata.json,,,2026-08-15 18:14:08.423662,2026-08-15 18:14:15.925668
8,d314b46a-2970-4e84-acc7-f3358363b542,7,,The Rice Comb Superstructure (Level 10 Alien Megastructure),veo_level10_package,pending_video,0,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_The_Rice_Comb_Superstructure\youtube_metadata.json,,,2026-08-15 18:14:15.857559,2026-08-15 18:14:59.533045
9,2b629735-3e44-4af9-8aba-ae82df5e674c,8,,Paddy-Gulping Harvest Worm (Level 10 Alien Megastructure),veo_level10_package,pending_video,0,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Paddy-Gulping_Harvest_Worm\youtube_metadata.json,,,2026-08-15 18:14:23.279728,2026-08-15 18:14:34.923922
10,8c5f6d4c-453b-440e-8c9b-8dabb3a6bee6,9,,Rice Moon Harvester (Level 10 Alien Megastructure),veo_level10_package,pending_video,0,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Moon_Harvester\youtube_metadata.json,,,2026-08-15 18:14:32.995207,2026-08-15 18:14:52.676238
11,41f85acb-a5e1-47db-a2ae-94ad0da8a553,10,,The Infinite Rice Factory (Level 10 Alien Megastructure),veo_level10_package,pending_video,0,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_The_Infinite_Rice_Factory\youtube_metadata.json,[Errno 22] Invalid argument,,2026-08-15 18:14:44.885609,2026-08-15 18:14:58.805906
12,7352c92a-e660-4d52-be89-6495f77f2392,11,60,Colossal Wheat Combine Titan (Level 10 Alien Megastructure),veo_level10_package,pending_video,1,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Colossal_Wheat_Combine_Titan\youtube_metadata.json,,,2026-08-16 14:57:00.116501,2026-08-16 14:57:10.921828
13,a1866904-5960-4cb1-8cec-77c61f8e1b06,12,80,The Solar Wheat Sifter (Level 10 Alien Megastructure),veo_level10_package,pending_video,1,3,,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_The_Solar_Wheat_Sifter\youtube_metadata.json,,,2026-08-16 15:24:44.018881,2026-08-16 15:25:09.709266
