Category,Element_ID,Element_Name,Element_Group,Element_Status,Idea_ID,Idea_Title,Idea_Status,Prompts_Count,Level_10_Prompt_Status,Video_Package_Status,Task_Status,Attempt_Count,No_Retry_Lock,Next_Action
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),1,Rice Titan Harvester,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),COMPLETED (MP4 + JSON Present),success,4,YES (LOCKED - NO RETRY),DONE & VERIFIED
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),2,The Paddy Ocean Vacuum,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),COMPLETED (MP4 + JSON Present),success,4,YES (LOCKED - NO RETRY),DONE & VERIFIED
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),3,Rice-Field Spider Colossus,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),COMPLETED (MP4 + JSON Present),success,1,YES (LOCKED - NO RETRY),DONE & VERIFIED
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),4,The Monsoon Harvesting Ark,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),COMPLETED (MP4 + JSON Present),success,1,YES (LOCKED - NO RETRY),DONE & VERIFIED
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),5,Paddy Ring Megaharvester,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,1,NO,Run Video Packager
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),6,Sky Reaper Rice Fortress,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,0,NO,Run Video Packager
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),7,The Rice Comb Superstructure,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,0,NO,Run Video Packager
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),8,Paddy-Gulping Harvest Worm,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,0,NO,Run Video Packager
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),9,Rice Moon Harvester,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,0,NO,Run Video Packager
Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED (10 Ideas Linked),10,The Infinite Rice Factory,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,pending_video,0,NO,Run Video Packager
Impossible Giant Machine,2,Forest,Nature,FILLED (10 Ideas Linked),33,The Forest Titan Megastructure #1,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,NOT_STARTED,0,NO,Run Video Packager
Impossible Giant Machine,2,Forest,Nature,FILLED (10 Ideas Linked),34,The Forest Titan Megastructure #2,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,NOT_STARTED,0,NO,Run Video Packager
Impossible Giant Machine,2,Forest,Nature,FILLED (10 Ideas Linked),35,The Forest Titan Megastructure #3,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,NOT_STARTED,0,NO,Run Video Packager
Impossible Giant Machine,2,Forest,Nature,FILLED (10 Ideas Linked),36,The Forest Titan Megastructure #4,FILLED,20/20 (FILLED),READY (Level 10 Video Prompt Active),READY_FOR_PACKAGING,NOT_STARTED,0,NO,Run Video Packager
