Idea_ID,Idea_Title,SEO_Run_ID,Search_Query,Competitor_Title,Channel,Video_ID,URL,View_Count,Duration_Seconds,Similarity,Level,Is_Strong,Discovered_At
1,Rice Titan Harvester,34,Paddy Harvesting machine,Rice Harvester in Japan ,KaRonda in Japan,,https://www.youtube.com/watch?v=CSh__bvAAI8,1609,,0.5,CLOSE,0,2026-09-09 09:49:15.926532
1,Rice Titan Harvester,34,Paddy Harvesting machine,Amazing Rice Harvester in Japan,Nagano Vlog,,https://www.youtube.com/watch?v=iAFYMGEBbhI,7955331,,0.4,CLOSE,1,2026-09-09 09:49:15.925934
1,Rice Titan Harvester,34,Paddy Harvesting machine,"Mini Rice Harvester Machine 01792772477,01788803336",USA DIY,,https://www.youtube.com/watch?v=q56qorkhDyM,396820,,0.2857,SUBSTITUTE,1,2026-09-09 09:49:15.915875
1,Rice Titan Harvester,34,Paddy Harvesting machine,Mini combine harvester I Rice harvester I Mini harvester I Paddy harvester I Kym harvester,Blue Chemp,,https://www.youtube.com/watch?v=4eM6CXpGnpM,380135,,0.2857,SUBSTITUTE,1,2026-09-09 09:49:15.918152
1,Rice Titan Harvester,34,Paddy Harvesting machine,Manual paddy rice harvester made in Japan,Japan Agri Trading,,https://www.youtube.com/watch?v=1s024AKMntM,41327,,0.2857,SUBSTITUTE,0,2026-09-09 09:49:15.925245
1,Rice Titan Harvester,34,Paddy Harvesting machine,TAGRM 4LZ-1.2 Small rice/wheat combine harvester,cfh080 的频道,,https://www.youtube.com/watch?v=yVkdSKOWlmQ,29509,,0.25,SUBSTITUTE,0,2026-09-09 09:49:15.917600
1,Rice Titan Harvester,31,Paddy Harvesting,Bangladeshi Farmers Harvesting Paddy 🌾 |Modern Rice Farming with Harvester,Stay with Maruf,,https://www.youtube.com/watch?v=OZyeOmeNJUA,205,,0.2222,SUBSTITUTE,0,2026-09-04 12:07:17.075606
1,Rice Titan Harvester,31,Paddy Harvesting,How to Draw a Combine Harvester,Mark Easy Drawings ,,https://www.youtube.com/watch?v=xS70_QQR9gU,7937,,0.2,SUBSTITUTE,0,2026-09-04 12:07:17.092820
1,Rice Titan Harvester,34,Paddy Harvesting machine,जापानी मिनी हार्वेस्टर II Kubota mini harvester,Blue Chemp,,https://www.youtube.com/watch?v=sGS_IbJyCdI,235462,,0.2,SUBSTITUTE,1,2026-09-09 09:49:15.915312
1,Rice Titan Harvester,34,Paddy Harvesting machine,"Kubota combine harvester, import from Japan rice cutting machine | farming machine",Punjab village Tractors,,https://www.youtube.com/watch?v=Hlm4XBTnW8w,3256374,,0.2,SUBSTITUTE,1,2026-09-09 09:49:15.921860
