Idea_ID,Idea_Title,SEO_Run_ID,Search_Query,Competitor_Title,Channel,Video_ID,URL,View_Count,Duration_Seconds,Similarity,Level,Is_Strong,Discovered_At
1,Rice Titan Harvester,1,Rice Titan Harvester,Rice combine harvester,Alex Feng,,https://www.youtube.com/watch?v=Ulv_J5H3w5Q,47,,0.5,CLOSE,0,2026-08-25 10:52:06.190710
1,Rice Titan Harvester,1,Rice Titan Harvester,Rice combine harvester,Alex Feng,,https://www.youtube.com/watch?v=fNMxJxLaGWw,62,,0.5,CLOSE,0,2026-08-25 10:52:06.192787
1,Rice Titan Harvester,1,Rice Titan Harvester,4G120 rice  harvester 0001,Wendy Zhang,,https://www.youtube.com/watch?v=7rA7Hjs3nw4,551,,0.4,CLOSE,0,2026-08-25 10:52:06.187707
1,Rice Titan Harvester,1,Rice Titan Harvester,AGRIUNOIN Rice combine harvester,Alex Feng,,https://www.youtube.com/watch?v=VlVwhRgQgeU,158,,0.4,CLOSE,0,2026-08-25 10:52:06.192127
1,Rice Titan Harvester,1,Rice Titan Harvester,"Homemade 1909 International Harvester Titan ""Replica""",eSPeeScotty,,https://www.youtube.com/watch?v=gKZir35Afng,581,,0.2857,SUBSTITUTE,0,2026-08-25 10:52:06.191257
1,Rice Titan Harvester,1,Rice Titan Harvester,JD 7720 titan trillando arroz,Osvaldo Bojorquez,,https://www.youtube.com/watch?v=cPsaY-eLo00,2110,,0.1667,SUBSTITUTE,0,2026-08-25 10:52:06.188708
1,Rice Titan Harvester,1,Rice Titan Harvester,Rice Harvesting using Machine,Trending Videos,,https://www.youtube.com/watch?v=nWEtw6c_keM,3,,0.1667,SUBSTITUTE,0,2026-08-25 10:52:06.192127
1,Rice Titan Harvester,1,Rice Titan Harvester,Amazing Kubota DC108X Combine Harvester in Action  Expert Operator Skills & Rice Harvesting,Machine TV Cambodia,,https://www.youtube.com/watch?v=6pKqTZoKfDQ,7663,,0.1667,SUBSTITUTE,0,2026-08-25 10:52:06.194788
1,Rice Titan Harvester,1,Rice Titan Harvester,JD 8820 Titan II Wheat Harvest 2011,KSdeerefarmboy,,https://www.youtube.com/watch?v=Ax0jU6AOU1E,1114,,0.1429,SUBSTITUTE,0,2026-08-25 10:52:06.189707
1,Rice Titan Harvester,1,Rice Titan Harvester,"John Deere X9  - 1450 , largest Combine Harvester , in 4K",Norbert Schindhelm,,https://www.youtube.com/watch?v=SNKWRB1-5pA,15768868,,0.125,SUBSTITUTE,1,2026-08-25 10:52:06.192787
1,Rice Titan Harvester,1,Rice Titan Harvester,DO-IT – Farmer harvesting organic Basmati rice in India,DO IT Organic,,https://www.youtube.com/watch?v=OuInpXWh4AM,38724,,0.125,SUBSTITUTE,0,2026-08-25 10:52:06.196803
1,Rice Titan Harvester,1,Rice Titan Harvester,Vishal marlin Trac Titan Booking started. 9500056592,Bala Vishal Marlin DEALER ATTUR ,,https://www.youtube.com/watch?v=G6XNb1D0fYw,1011,,0.1111,IRRELEVANT,0,2026-08-25 10:52:06.189707
1,Rice Titan Harvester,1,Rice Titan Harvester,Amazing Rice Growing process in the Philippines from Seed to Table!,Global Lens,,https://www.youtube.com/watch?v=4dxzlspJ1eg,103245,,0.1111,IRRELEVANT,1,2026-08-25 10:52:06.193786
1,Rice Titan Harvester,1,Rice Titan Harvester,How Tons of Rice Harvested & Processed | Modern Rice Agriculture Technology,Wondastic Tech,,https://www.youtube.com/watch?v=kT1R7Hkps5M,764820,,0.1111,IRRELEVANT,1,2026-08-25 10:52:06.195787
1,Rice Titan Harvester,1,Rice Titan Harvester,Preet Combine Harvester and Sonalika 60 Rx Tractor with Full Size Trailer,Pramod`s Life,,https://www.youtube.com/watch?v=RH-Qa4DI7k0,72615771,,0.1,IRRELEVANT,1,2026-08-25 10:52:06.192787
1,Rice Titan Harvester,1,Rice Titan Harvester,Farming Documentary | How Taiwan Farmers Harvest Rice: Rice Planting & Processing Factory,Titan Tractors,,https://www.youtube.com/watch?v=BjZUuLAuIFY,28,,0.0909,IRRELEVANT,0,2026-08-25 10:52:06.191770
1,Rice Titan Harvester,1,Rice Titan Harvester,"How To Harvest Upland Sticky Rice - Bring Upland Rice Go To Market Sell, Free Bushcraft",Phương - Free Bushcraft,,https://www.youtube.com/watch?v=kcIzl8Lb864,2466172,,0.0909,IRRELEVANT,1,2026-08-25 10:52:06.194788
1,Rice Titan Harvester,1,Rice Titan Harvester,2025 New Model Gam Harvester Boro Paddy Cutting Work | Harvester Machine,Assam Vehicle Channel ,,https://www.youtube.com/watch?v=5itpJAWmPCA,247667,,0.0833,IRRELEVANT,1,2026-08-25 10:52:06.193786
