Table_Name,Row_Count,Column_Count,Status,CSV_Path
audit_logs,0,10,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/audit_logs.csv
categories,1,5,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/categories.csv
channel2_shot_audits,38,23,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/channel2_shot_audits.csv
channel_prompts,38,13,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/channel_prompts.csv
channels,2,8,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/channels.csv
collection_ideas,0,3,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/collection_ideas.csv
collections,0,6,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/collections.csv
content_history,65,11,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/content_history.csv
duplicate_checks,0,18,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/duplicate_checks.csv
elements,100,6,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/elements.csv
execution_events,0,6,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/execution_events.csv
external_operations,0,13,BLANK / EMPTY,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/external_operations.csv
generated_videos,3,21,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/generated_videos.csv
generation_jobs,2,18,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/generation_jobs.csv
idea_assets,6,15,FILLED,/home/mdkamruzzamanirak_gmail_com/.openclaw/workspace/IROSCRIPT-CEO/social-media/youtube/Youtube Automation/PromptDatabase/exports/csv_tables/idea_assets.csv
